"from_fips","pop","acs_pop","rescale"
"36001",18833.1,307117,16.3072993824702
"36003",3339.91666666667,46430,13.9015444497118
"36005",66934.5833333333,1432132,21.3959948457138
"36007",13260.7333333333,191659,14.4531222506548
"36009",5396.9,76840,14.2378031833089
"36011",5019.43333333333,77145,15.3692647908462
"36013",9252.86666666667,127939,13.8269581318943
"36015",6727.61666666667,84254,12.5236029599388
"36017",3159.95,47536,15.0432760012026
"36019",4164.41666666667,80695,19.3772637224101
"36021",3135.48333333333,59916,19.1090156222592
"36023",3520.75,47823,13.5831854008379
"36025",2255.68333333333,44527,19.7399162116432
"36027",19000.9833333333,293718,15.4580420837869
"36029",59949.2333333333,919719,15.3416307242183
"36031",2410.61666666667,37300,15.473219162455
"36033",2872.01666666667,50293,17.5113886293603
"36035",3847.33333333333,53591,13.9293883209149
"36037",4190.21666666667,57511,13.7250659273785
"36039",2767.51666666667,47491,17.160149592595
"36041",421.5,4434,10.5195729537367
"36043",4554.01666666667,61833,13.5776841689205
"36045",8832.01666666667,111755,12.6533955061226
"36047",124793.933333333,2582830,20.6967592975941
"36049",1344.21666666667,26447,19.6746556234734
"36051",4759.56666666667,63227,13.2841925385364
"36053",4618.88333333333,70795,15.3272977234757
"36055",54384.7166666667,742474,13.6522546315861
"36057",3064.36666666667,49455,16.1387344856468
"36059",118806.783333333,1358343,11.4332108141412
"36061",66701.25,1628701,24.4178482412249
"36063",14990.6833333333,210433,14.0375855670355
"36065",15696.9833333333,229577,14.625549070469
"36067",32388.7166666667,461809,14.2583296755094
"36069",8334.7,109864,13.1815182310101
"36071",25917.5333333333,381951,14.7371663455627
"36073",2868.1,40612,14.1598967957882
"36075",8974.98333333333,117898,13.1362918036988
"36077",2997.53333333333,59749,19.9327224606899
"36079",6730.73333333333,98892,14.6926040748408
"36081",132625.2,2278906,17.1830542008608
"36083",9542.56666666667,159442,16.7085026041212
"36085",44489.3666666667,476179,10.7032092312695
"36087",17188.35,325695,18.948590178813
"36089",6138.06666666667,108047,17.6027739461937
"36091",16207.1166666667,230163,14.2013539319661
"36093",9959.06666666667,155350,15.5988512979797
"36095",1446.13333333333,31097,21.5035496957404
"36097",1314.38333333333,17912,13.627683451048
"36099",2337.71666666667,34300,14.6724367794786
"36101",7388.61666666667,95796,12.9653498512351
"36103",139283.65,1481093,10.6336458012121
"36105",5088.98333333333,75498,14.8355761956383
"36107",3147.8,48560,15.426647182159
"36109",5332.55,102793,19.2765187386897
"36111",10612.1666666667,178599,16.8296452185385
"36113",5610.86666666667,64265,11.4536672884759
"36115",3689.05,61197,16.5888236808935
"36117",6772,90064,13.2994683992912
"36119",55656.0333333333,967612,17.3855724536603
"36121",2224.75,40085,18.0177548039106
"36123",1631.56666666667,24841,15.225243630866
